Year,season,0_5,6_11,12_17,18_39,40_64,>=65,,,,US,https://www.cdc.gov/flu/fluvaxview/coverage-2223estimates.htm,,,,,,,,,,,,
2009,1,0.075,0.108,0.051,0.027,0.084,0.281,,,,,6m-4,65+%,,,,,,,,,,,
2010,2,0.086,0.123,0.058,0.029,0.09,0.299,,,,,5-12years,55-60%,,,,,,,,,,,
2010,3,0.086,0.123,0.058,0.029,0.09,0.299,,,,,13-17,40-50%,,,,,,,,,,,
2011,,0.097,0.139,0.066,0.031,0.095,0.317,,,,,18-49,30+%,,,,,,,,,,,
2012,4,0.125,0.179,0.085,0.033,0.099,0.328,,,,,50-64,45+%,,,,,,,,,,,
2013,5,0.129,0.184,0.088,0.033,0.098,0.327,,,,,65+,60+%,,,,,,,,,,,
2013,6,0.129,0.184,0.088,0.033,0.098,0.327,,,,,,,,,,,,0.075,0.108,0.051,0.027,0.084,0.281
2014,,0.18,0.257,0.122,0.038,0.105,0.35,,,,,,,,,,,,0.125,0.179,0.085,0.033,0.099,0.328
2015,,0.151,0.216,0.102,0.041,0.123,0.408,,,,,,,,,,,,0.487,0.68,0.409,0.08,0.16,0.515
2016,,0.174,0.249,0.118,0.042,0.123,0.408,,,,,,,,,,,,0.487,0.68,0.409,0.08,0.16,0.515
2017,,0.23,0.329,0.156,0.047,0.131,0.435,,,,,,,,,,,,,,,,,
2018,,0.404,0.577,0.274,0.055,0.134,0.446,,,,,,,,,,,,,,,,,
2019,,0.485,0.693,0.329,0.06,0.137,0.457,,,,,,,,,,,,0.412,0.572,0.358,0.053,0.076,0.234
2024,2024,0.487,0.68,0.409,0.08,0.16,0.515,https://www.chp.gov.hk/tc/features/102226.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8920126/,,,,,,,,,,,,,,,
,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8920126/,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, '0-4',226000,0.487,110062,,
,,,,,,,,,,,,,,,,,,, '5-9',262900,0.68,178772,,
,,,,,,,,,,,,,,,,,,, '10-19',806000,0.409,329654,,
,,,,,,,,,,,,,,,,,,, '20-29',986600,0.08,78928,,
,,,,,,,,,,,,,,,,,,, '30-39',1107500,0.08,88600,,
,,,,,,,,,,,,,,,,,,, '40-49',1267700,0.16,202832,,
,,,,,,,,,,,,,,,,,,, '50-59',1082100,0.16,173136,,
,,,,,,,,,,,,,,,,,,,60-64',279500,0.16,44720,,
,,,,,,,,,,,,,,,,,,, '65-69',279500,0.515,143942.5,,
,,,,,,,,,,,,,,,,,,, '70-79',435000,0.515,224025,,
,,,,,,,,,,,,,,,,,,, '80+',240000,0.515,123600,,
,,,,,,,,,,,,,,,,,,,,6972800,,1698271.5,0.243556606,
