Year,season,0_5,6_11,12_17,18_39,40_64,>=65
2009,1,0.075,0.108,0.051,0.027,0.084,0.281
2010,2,0.086,0.123,0.058,0.029,0.09,0.299
2010,3,0.086,0.123,0.058,0.029,0.09,0.299
2011,,0.097,0.139,0.066,0.031,0.095,0.317
2012,4,0.125,0.179,0.085,0.033,0.099,0.328
2013,5,0.129,0.184,0.088,0.033,0.098,0.327
2013,6,0.129,0.184,0.088,0.033,0.098,0.327
2014,,0.18,0.257,0.122,0.038,0.105,0.35
2015,,0.151,0.216,0.102,0.041,0.123,0.408
2016,,0.174,0.249,0.118,0.042,0.123,0.408
2017,,0.23,0.329,0.156,0.047,0.131,0.435
2018,,0.404,0.577,0.274,0.055,0.134,0.446
2019,,0.485,0.693,0.329,0.06,0.137,0.457
2024,2024,0.487,0.68,0.409,0.08,0.16,0.515
